sample,DDX11L1_expression,tissue_type
GTEX-15ER7-0011-R8a-SM-7KUL2,0,Hypothalamus 
GTEX-15ER7-0011-R9b-SM-6PALF,0,Spinal cord (cervical c-1) 
GTEX-15ER7-3026-SM-6M47W,0,Cerebellum 
GTEX-15ER7-3126-SM-7KUGH,0.0169,Cortex 
GTEX-15G19-0011-R10b-SM-7KUG4,0,Frontal Cortex (BA9) 
GTEX-15G19-0011-R11b-SM-6LPIH,0,Cerebellar Hemisphere 
GTEX-15G19-0011-R3a-SM-6LPIG,0,Anterior cingulate cortex (BA24) 
GTEX-15G19-0011-R5b-SM-6M46P,0,Caudate (basal ganglia) 
GTEX-15G19-0011-R6b-SM-7KUM3,0.01274,Nucleus accumbens (basal ganglia) 
GTEX-15G19-0011-R7b-SM-6M479,0,Putamen (basal ganglia) 
GTEX-15G19-0011-R8b-SM-7KUL1,0,Hypothalamus 
GTEX-15G19-0011-R9b-SM-7KUEE,0,Spinal cord (cervical c-1) 
GTEX-15G19-2826-SM-6M48K,0,Cerebellum 
GTEX-15G19-2926-SM-7KUFL,0,Cortex 
GTEX-15RJE-0011-R2b-SM-79OMP,0,Substantia nigra 
GTEX-15RJE-0011-R6a-SM-7DHL8,0,Nucleus accumbens (basal ganglia) 
GTEX-15RJE-0011-R7a-SM-7DHL9,0,Putamen (basal ganglia) 
GTEX-15RJE-3026-SM-7KUM1,0,Cortex 
GTEX-15SHU-0011-R3a-SM-7IGPS,0,Anterior cingulate cortex (BA24) 
GTEX-15SHU-0011-R4b-SM-7IGLC,0,Amygdala 
GTEX-15SHU-0011-R5a-SM-7938Q,0,Caudate (basal ganglia) 
GTEX-15SHU-3026-SM-6LPIB,0,Cerebellum 
GTEX-15SHU-3126-SM-6M46H,0,Cortex 
GTEX-15UF6-0011-R10b-SM-9OSVF,0,Frontal Cortex (BA9) 
GTEX-15UF6-0011-R1a-SM-9QEGH,0,Hippocampus 
GTEX-15UF6-3026-SM-7KUKL,0.01388,Cortex 
GTEX-16GPK-0011-R10b-SM-7MKFG,0.01364,Frontal Cortex (BA9) 
GTEX-16GPK-0011-R11b-SM-7MKFF,0.0923,Cerebellar Hemisphere 
GTEX-16GPK-0011-R1b-SM-7EWDH,0,Hippocampus 
GTEX-16GPK-0011-R8a-SM-79OMQ,0.02312,Hypothalamus 
GTEX-16GPK-3026-SM-79ON9,0.0151,Cortex 
GTEX-16NPV-0011-R10a-SM-79OKA,0,Frontal Cortex (BA9) 
GTEX-16NPV-0011-R11a-SM-7IGMK,0.01145,Cerebellar Hemisphere 
GTEX-16NPV-0011-R1b-SM-7MGVZ,0.01417,Hippocampus 
GTEX-16NPV-0011-R5a-SM-7EPGK,0.006372,Caudate (basal ganglia) 
GTEX-16NPV-0011-R8a-SM-7EPH8,0,Hypothalamus 
GTEX-16NPV-0011-R9b-SM-79ONF,0,Spinal cord (cervical c-1) 
GTEX-16XZZ-0011-R10b-SM-7LT91,0.01703,Frontal Cortex (BA9) 
GTEX-16XZZ-0011-R11a-SM-7EPI3,0.05641,Cerebellar Hemisphere 
GTEX-16XZZ-0011-R1a-SM-7LTAH,0.0149,Hippocampus 
GTEX-16XZZ-0011-R3a-SM-7IGLH,0.01947,Anterior cingulate cortex (BA24) 
GTEX-16XZZ-0011-R6a-SM-7IGNE,0,Nucleus accumbens (basal ganglia) 
GTEX-16XZZ-0011-R8b-SM-7LT8S,0.01162,Hypothalamus 
GTEX-16XZZ-0011-R9b-SM-7DHKX,0,Spinal cord (cervical c-1) 
GTEX-16XZZ-2926-SM-6LPK4,0,Cerebellum 
GTEX-16XZZ-3026-SM-79OMJ,0.04097,Cortex 
GTEX-16YQH-0011-R10b-SM-7LT8U,0.01384,Frontal Cortex (BA9) 
GTEX-16YQH-0011-R11b-SM-7LT98,0,Cerebellar Hemisphere 
GTEX-16YQH-0011-R1a-SM-7LT8R,0.01547,Hippocampus 
GTEX-16YQH-0011-R3a-SM-7EPGM,0,Anterior cingulate cortex (BA24) 
GTEX-16YQH-0011-R4a-SM-7EPGI,0,Amygdala 
GTEX-16YQH-0011-R5b-SM-7938U,0,Caudate (basal ganglia) 
GTEX-16YQH-0011-R6b-SM-7938T,0,Nucleus accumbens (basal ganglia) 
GTEX-16YQH-0011-R7a-SM-79ON1,0.02675,Putamen (basal ganglia) 
GTEX-16YQH-0011-R8a-SM-7DUFB,0,Hypothalamus 
GTEX-16YQH-2926-SM-6LPJE,0.03873,Cerebellum 
GTEX-16YQH-3026-SM-79OMM,0,Cortex 
GTEX-16Z82-0011-R10a-SM-79OJX,0,Frontal Cortex (BA9) 
GTEX-16Z82-0011-R11a-SM-79OKJ,0,Cerebellar Hemisphere 
GTEX-16Z82-0011-R1b-SM-7EPHZ,0.02809,Hippocampus 
GTEX-16Z82-0011-R2b-SM-79OK9,0.02269,Substantia nigra 
GTEX-16Z82-0011-R5a-SM-7EPGB,0,Caudate (basal ganglia) 
GTEX-16Z82-0011-R6a-SM-7IGLV,0,Nucleus accumbens (basal ganglia) 
GTEX-16Z82-0011-R7a-SM-7MKGJ,0.01321,Putamen (basal ganglia) 
GTEX-16Z82-0011-R8a-SM-7DUEX,0,Hypothalamus 
GTEX-16Z82-0011-R9a-SM-7DUFA,0,Spinal cord (cervical c-1) 
GTEX-16Z82-2926-SM-6LPJJ,0,Cerebellum 
GTEX-16Z82-3026-SM-79ON3,0.02223,Cortex 
GTEX-17EVP-0011-R10a-SM-7IGLP,0.01902,Frontal Cortex (BA9) 
GTEX-17EVP-0011-R11a-SM-7EWDL,0,Cerebellar Hemisphere 
GTEX-17EVP-0011-R1a-SM-7DHLA,0,Hippocampus 
GTEX-17EVP-0011-R2a-SM-7LG4W,0.02607,Substantia nigra 
GTEX-17EVP-0011-R3a-SM-7EPI9,0,Anterior cingulate cortex (BA24) 
GTEX-17EVP-0011-R4a-SM-79OML,0,Amygdala 
GTEX-17EVP-0011-R5b-SM-7DHKW,0,Caudate (basal ganglia) 
GTEX-17EVP-0011-R6b-SM-7LT99,0.01654,Nucleus accumbens (basal ganglia) 
GTEX-17EVP-0011-R7a-SM-7LTAN,0.01385,Putamen (basal ganglia) 
GTEX-17EVP-0011-R8b-SM-7DUF9,0,Hypothalamus 
GTEX-17EVP-2926-SM-793BU,0.03409,Cerebellum 
GTEX-17EVP-3026-SM-7IGQL,0.01918,Cortex 
GTEX-17EVQ-0011-R11a-SM-7LT9C,0.01682,Cerebellar Hemisphere 
GTEX-17EVQ-0011-R1a-SM-7189S,0.07967,Hippocampus 
GTEX-17EVQ-0011-R3b-SM-7LT9B,0.04533,Anterior cingulate cortex (BA24) 
GTEX-17EVQ-0011-R4b-SM-7LT94,0.01904,Amygdala 
GTEX-17EVQ-0011-R5a-SM-7LT92,0.02372,Caudate (basal ganglia) 
GTEX-17EVQ-0011-R6a-SM-7189U,0.0478,Nucleus accumbens (basal ganglia) 
GTEX-17EVQ-0011-R7a-SM-7EWDA,0,Putamen (basal ganglia) 
GTEX-17EVQ-0011-R8a-SM-7189T,0.03367,Hypothalamus 
GTEX-17EVQ-0011-R9b-SM-79OJY,0.03607,Spinal cord (cervical c-1) 
GTEX-17EVQ-2726-SM-7EWDT,0,Cerebellum 
GTEX-17EVQ-2826-SM-7IGQK,0.01772,Cortex 
GTEX-17F97-0011-R10b-SM-793BB,0,Frontal Cortex (BA9) 
GTEX-17F97-0011-R11b-SM-7KFRQ,0,Cerebellar Hemisphere 
GTEX-17F97-0011-R1b-SM-7IGM9,0,Hippocampus 
GTEX-17F97-0011-R3b-SM-7LT9E,0,Anterior cingulate cortex (BA24) 
GTEX-17F97-0011-R4b-SM-7KFS2,0,Amygdala 
GTEX-17F97-0011-R5a-SM-7LG4Z,0,Caudate (basal ganglia) 
GTEX-17F97-0011-R6a-SM-7EPGS,0,Nucleus accumbens (basal ganglia) 
GTEX-17F97-0011-R7b-SM-7MGVY,0,Putamen (basal ganglia) 
GTEX-17F97-0011-R8a-SM-7DUET,0,Hypothalamus 
GTEX-17F97-2926-SM-7DUEQ,0.05285,Cerebellum 
GTEX-17F97-3026-SM-79OKC,0,Cortex 
GTEX-17HG3-0011-R10b-SM-7LT97,0,Frontal Cortex (BA9) 
GTEX-17HG3-0011-R11b-SM-7KFT4,0.03159,Cerebellar Hemisphere 
GTEX-17HG3-0011-R1a-SM-7LG6H,0.02984,Hippocampus 
GTEX-17HG3-0011-R2a-SM-7MGVX,0.01489,Substantia nigra 
GTEX-17HG3-0011-R4a-SM-7IGLL,0,Amygdala 
GTEX-17HG3-0011-R5a-SM-7DUEW,0,Caudate (basal ganglia) 
GTEX-17HG3-0011-R6b-SM-79OK8,0,Nucleus accumbens (basal ganglia) 
GTEX-17HG3-0011-R7b-SM-7EPGR,0.01132,Putamen (basal ganglia) 
GTEX-17HG3-0011-R8a-SM-79OK7,0.02222,Hypothalamus 
GTEX-17HG3-2826-SM-7EPGO,0,Cerebellum 
GTEX-17HG3-2926-SM-79ON8,0,Cortex 
GTEX-17HHY-0011-R1a-SM-7189V,0.05469,Hippocampus 
GTEX-17HHY-0011-R3a-SM-7EWDK,0.02563,Anterior cingulate cortex (BA24) 
GTEX-17HHY-0011-R5b-SM-79OMZ,0,Caudate (basal ganglia) 
GTEX-17HHY-0011-R6b-SM-7189Z,0.03894,Nucleus accumbens (basal ganglia) 
GTEX-17HHY-0011-R7a-SM-718A1,0.07174,Putamen (basal ganglia) 
GTEX-17HHY-2926-SM-79OJW,0.08398,Cerebellum 
GTEX-17HHY-3026-SM-79OKP,0,Cortex 
GTEX-17HII-0011-R10a-SM-79OMY,0,Frontal Cortex (BA9) 
GTEX-17HII-0011-R11b-SM-7KFSX,0,Cerebellar Hemisphere 
GTEX-17HII-0011-R1b-SM-7MGVW,0,Hippocampus 
GTEX-17HII-0011-R3a-SM-7LT9D,0.01343,Anterior cingulate cortex (BA24) 
GTEX-17HII-0011-R5a-SM-7LG51,0,Caudate (basal ganglia) 
GTEX-17HII-0011-R7a-SM-79OMS,0.01749,Putamen (basal ganglia) 
GTEX-17HII-0011-R8a-SM-79OK6,0,Hypothalamus 
GTEX-17HII-2926-SM-79OMK,0,Cerebellum 
GTEX-17HII-3026-SM-7EWFM,0.02698,Cortex 
GTEX-17JCI-0011-R10b-SM-718A2,0.01811,Frontal Cortex (BA9) 
GTEX-17JCI-0011-R11a-SM-7189Y,0.0167,Cerebellar Hemisphere 
GTEX-17JCI-0011-R1b-SM-718A3,0.08869,Hippocampus 
GTEX-17JCI-0011-R6a-SM-72D6D,0,Nucleus accumbens (basal ganglia) 
GTEX-17JCI-3026-SM-7EWDR,0,Cerebellum 
GTEX-17JCI-3126-SM-7LTA2,0,Cortex 
GTEX-17MF6-0011-R1a-SM-72D6O,0,Hippocampus 
GTEX-17MF6-0011-R5a-SM-731BA,0,Caudate (basal ganglia) 
GTEX-17MF6-0011-R6b-SM-7LG6G,0,Nucleus accumbens (basal ganglia) 
GTEX-17MF6-0011-R7b-SM-7LG6J,0,Putamen (basal ganglia) 
GTEX-17MF6-2926-SM-7LTAW,0.009613,Cortex 
GTEX-183WM-0011-R11a-SM-718A5,0.07068,Cerebellar Hemisphere 
GTEX-183WM-0011-R1a-SM-718A8,0.04158,Hippocampus 
GTEX-183WM-0011-R4a-SM-7LG6S,0,Amygdala 
GTEX-183WM-0011-R5a-SM-718A4,0.08818,Caudate (basal ganglia) 
GTEX-183WM-0011-R6b-SM-72D66,0.01596,Nucleus accumbens (basal ganglia) 
GTEX-183WM-0011-R7b-SM-731AX,0,Putamen (basal ganglia) 
GTEX-183WM-0011-R8a-SM-7189W,0.07746,Hypothalamus 
GTEX-183WM-2726-SM-7KFRF,0.01196,Cerebellum 
GTEX-183WM-2826-SM-731C2,0,Cortex 
GTEX-18464-0011-R10a-SM-72D6X,0,Frontal Cortex (BA9) 
GTEX-18464-0011-R11a-SM-72D76,0,Cerebellar Hemisphere 
GTEX-18464-0011-R2a-SM-731AL,0,Substantia nigra 
GTEX-18464-0011-R4a-SM-7LG6T,0.01474,Amygdala 
GTEX-18464-0011-R5b-SM-718A6,0.02999,Caudate (basal ganglia) 
GTEX-18464-0011-R6a-SM-731CA,0,Nucleus accumbens (basal ganglia) 
GTEX-18464-0011-R7b-SM-731CM,0.01645,Putamen (basal ganglia) 
GTEX-18464-0011-R8a-SM-72D4Z,0,Hypothalamus 
GTEX-18464-0011-R9a-SM-731BK,0,Spinal cord (cervical c-1) 
GTEX-18465-0011-R11a-SM-72D78,0,Cerebellar Hemisphere 
GTEX-18465-0011-R5a-SM-72D5J,0,Caudate (basal ganglia) 
GTEX-18465-0011-R6a-SM-7LG6M,0.01564,Nucleus accumbens (basal ganglia) 
GTEX-18465-0011-R7b-SM-7LG6V,0.01404,Putamen (basal ganglia) 
GTEX-18465-0011-R8b-SM-7LG6O,0.02938,Hypothalamus 
GTEX-18465-2926-SM-7KFSE,0.01627,Cerebellum 
GTEX-18465-3026-SM-7LG6Y,0.03099,Cortex 
GTEX-18A6Q-0011-R10b-SM-72D7A,0,Frontal Cortex (BA9) 
GTEX-18A6Q-0011-R11a-SM-72D6H,0,Cerebellar Hemisphere 
GTEX-18A6Q-0011-R1b-SM-731DI,0,Hippocampus 
GTEX-18A6Q-0011-R3a-SM-718A7,0.06434,Anterior cingulate cortex (BA24) 
GTEX-18A6Q-0011-R6a-SM-7LG6R,0.01412,Nucleus accumbens (basal ganglia) 
GTEX-18A6Q-2826-SM-7LTAO,0,Cerebellum 
GTEX-18A6Q-2926-SM-718AR,0.1307,Cortex 
GTEX-1A32A-0011-R1a-SM-7P8SQ,0.1599,Hippocampus 
GTEX-1A32A-0011-R9b-SM-7MGXD,0,Spinal cord (cervical c-1) 
GTEX-1A3MX-0011-R10b-SM-7P8PG,0.01578,Frontal Cortex (BA9) 
GTEX-1A3MX-0011-R11b-SM-7DUGP,0,Cerebellar Hemisphere 
GTEX-1A3MX-0011-R1b-SM-7P8PH,0.02243,Hippocampus 
GTEX-1A3MX-0011-R2b-SM-7EWFL,0.01348,Substantia nigra 
GTEX-1A3MX-0011-R3b-SM-79OOW,0,Anterior cingulate cortex (BA24) 
GTEX-1A3MX-0011-R4b-SM-7EWFK,0,Amygdala 
GTEX-1A3MX-0011-R5a-SM-79OM5,0,Caudate (basal ganglia) 
GTEX-1A3MX-0011-R6a-SM-7P8S9,0.01593,Nucleus accumbens (basal ganglia) 
GTEX-1A3MX-0011-R7a-SM-7DUEM,0,Putamen (basal ganglia) 
GTEX-1A3MX-0011-R8a-SM-7P8PI,0,Hypothalamus 
GTEX-1A3MX-2926-SM-718B7,0,Cerebellum 
GTEX-1A3MX-3026-SM-731BF,0,Cortex 
GTEX-1A8G6-0011-R10b-SM-7P8PB,0.01274,Frontal Cortex (BA9) 
GTEX-1A8G6-0011-R1a-SM-7P8PC,0,Hippocampus 
GTEX-1A8G6-0011-R5b-SM-7IGQG,0,Caudate (basal ganglia) 
GTEX-1A8G6-0011-R6b-SM-7P8PE,0,Nucleus accumbens (basal ganglia) 
GTEX-1A8G6-0011-R7b-SM-7MXTV,0.02726,Putamen (basal ganglia) 
GTEX-1A8G6-0011-R8a-SM-7P8PD,0,Hypothalamus 
GTEX-1A8G6-2926-SM-731CK,0,Cortex 
GTEX-1A8G6-3126-SM-731D8,0,Cerebellum 
GTEX-1A8G7-0011-R2a-SM-7IGQI,0,Substantia nigra 
GTEX-1A8G7-0011-R8a-SM-7P8S6,0.09594,Hypothalamus 
GTEX-1A8G7-0011-R9b-SM-7IGQH,0.02307,Spinal cord (cervical c-1) 
GTEX-1A8G7-3026-SM-73KTT,0.03957,Cerebellum 
GTEX-1A8G7-3126-SM-7IGP7,0.0146,Cortex 
GTEX-1AX9I-0011-R11b-SM-7DHN4,0,Cerebellar Hemisphere 
GTEX-1AX9I-0011-R1b-SM-7RHG2,0,Hippocampus 
GTEX-1AX9I-0011-R4b-SM-7EPIB,0,Amygdala 
GTEX-1AX9I-0011-R5b-SM-793DI,0,Caudate (basal ganglia) 
GTEX-1AX9I-0011-R6a-SM-7P8PK,0.02922,Nucleus accumbens (basal ganglia) 
GTEX-1AX9I-0011-R7b-SM-7P8Q3,0,Putamen (basal ganglia) 
GTEX-1AX9I-0011-R8a-SM-7P8PJ,0,Hypothalamus 
GTEX-1AX9I-3026-SM-73KUH,0,Cortex 
GTEX-1B8L1-0011-R10b-SM-7P8Q4,0.01348,Frontal Cortex (BA9) 
GTEX-1B8L1-0011-R11b-SM-793DJ,0.02514,Cerebellar Hemisphere 
GTEX-1B8L1-0011-R1a-SM-7P8SS,0.1344,Hippocampus 
GTEX-1B8L1-0011-R2a-SM-9OSVL,0,Substantia nigra 
GTEX-1B8L1-0011-R3a-SM-7EPIO,0,Anterior cingulate cortex (BA24) 
GTEX-1B8L1-0011-R4a-SM-7EWFJ,0,Amygdala 
GTEX-1B8L1-0011-R5a-SM-7DHN5,0.02365,Caudate (basal ganglia) 
GTEX-1B8L1-0011-R6b-SM-7P8SU,0.07117,Nucleus accumbens (basal ganglia) 
GTEX-1B8L1-0011-R7b-SM-9OSVK,0,Putamen (basal ganglia) 
GTEX-1B8L1-0011-R8b-SM-7P8ST,0.1041,Hypothalamus 
GTEX-1B8L1-0011-R9b-SM-9WG5U,0,Spinal cord (cervical c-1) 
GTEX-1B8L1-3026-SM-7EPHK,0,Cortex 
GTEX-1B8L1-3226-SM-7P8OX,0,Cerebellum 
GTEX-1B8SF-0011-R10b-SM-7P8SW,0.03273,Frontal Cortex (BA9) 
GTEX-1B8SF-0011-R11a-SM-79OOP,0.03893,Cerebellar Hemisphere 
GTEX-1B8SF-0011-R1b-SM-7P8Q8,0.01181,Hippocampus 
GTEX-1B8SF-0011-R5a-SM-79OOO,0,Caudate (basal ganglia) 
GTEX-1B8SF-0011-R6b-SM-7MXUD,0,Nucleus accumbens (basal ganglia) 
GTEX-1B8SF-0011-R7b-SM-9OSVM,0.0214,Putamen (basal ganglia) 
GTEX-1B8SF-0011-R8b-SM-7P8SX,0.1072,Hypothalamus 
GTEX-1B8SF-3026-SM-731DX,0,Cerebellum 
GTEX-1B8SF-3126-SM-73KU1,0,Cortex 
GTEX-1B8SG-0011-R11a-SM-7P8PF,0.01357,Cerebellar Hemisphere 
GTEX-1B8SG-0011-R2b-SM-79OOT,0,Substantia nigra 
GTEX-1B8SG-0011-R8b-SM-7IGNW,0.02106,Hypothalamus 
GTEX-1B8SG-1726-SM-73KXK,0.02554,Cortex 
GTEX-1B8SG-1926-SM-73KUB,0,Cerebellum 
GTEX-1B933-0011-R10b-SM-9OSVN,0.01637,Frontal Cortex (BA9) 
GTEX-1B933-0011-R11a-SM-7P8PM,0.0165,Cerebellar Hemisphere 
GTEX-1B933-0011-R1b-SM-9QEGW,0,Hippocampus 
GTEX-1B933-0011-R2b-SM-7IGNM,0,Substantia nigra 
GTEX-1B933-0011-R3b-SM-7P8PL,0,Anterior cingulate cortex (BA24) 
GTEX-1B933-0011-R5b-SM-7P8SA,0.0886,Caudate (basal ganglia) 
GTEX-1B933-0011-R6b-SM-79OOQ,0,Nucleus accumbens (basal ganglia) 
GTEX-1B933-0011-R7a-SM-7DUGX,0,Putamen (basal ganglia) 
GTEX-1B933-0011-R8a-SM-9QEGX,0,Hypothalamus 
GTEX-1B933-0011-R9a-SM-79OOR,0,Spinal cord (cervical c-1) 
GTEX-1B933-3026-SM-731DB,0.04416,Cerebellum 
GTEX-1B933-3126-SM-7P8RL,0.07805,Cortex 
GTEX-1B996-0011-R10b-SM-CJI3T,0,Frontal Cortex (BA9) 
GTEX-1B996-0011-R1b-SM-7P8PO,0,Hippocampus 
GTEX-1B996-0011-R2a-SM-7IGON,0,Substantia nigra 
GTEX-1B996-0011-R3b-SM-9QEGY,0.01451,Anterior cingulate cortex (BA24) 
GTEX-1B996-0011-R4b-SM-9OSVO,0.0306,Amygdala 
GTEX-1B996-0011-R5a-SM-7P8PN,0,Caudate (basal ganglia) 
GTEX-1B996-0011-R6b-SM-793AQ,0,Nucleus accumbens (basal ganglia) 
GTEX-1B996-0011-R7b-SM-7IGNT,0,Putamen (basal ganglia) 
GTEX-1B996-0011-R8b-SM-79OOS,0,Hypothalamus 
GTEX-1B996-2926-SM-7MXUH,0.03349,Cerebellum 
GTEX-1BAJH-0011-R10a-SM-7MXT9,0.03126,Frontal Cortex (BA9) 
GTEX-1BAJH-0011-R11b-SM-7IGLM,0.01597,Cerebellar Hemisphere 
GTEX-1BAJH-0011-R1a-SM-7P8SV,0.1078,Hippocampus 
GTEX-1BAJH-0011-R3a-SM-7IGNU,0,Anterior cingulate cortex (BA24) 
GTEX-1BAJH-0011-R6b-SM-7MXT2,0.02859,Nucleus accumbens (basal ganglia) 
GTEX-1BAJH-0011-R8a-SM-7MXUB,0.01514,Hypothalamus 
GTEX-1BAJH-0011-R9b-SM-7EPIQ,0,Spinal cord (cervical c-1) 
GTEX-1BAJH-3126-SM-7MGXY,0,Cerebellum 
GTEX-1C64N-0011-R11b-SM-7P8Q6,0,Cerebellar Hemisphere 
GTEX-1C64N-0011-R1b-SM-7P8Q7,0,Hippocampus 
GTEX-1C64N-0011-R6a-SM-7IGO9,0,Nucleus accumbens (basal ganglia) 
GTEX-1C64N-0011-R7a-SM-7IGOI,0,Putamen (basal ganglia) 
GTEX-1C64N-0011-R8b-SM-7MGXE,0,Hypothalamus 
GTEX-1C64N-3026-SM-7MGVU,0,Cortex 
GTEX-1C64N-3126-SM-79OO3,0,Cerebellum 
GTEX-1C6VQ-0011-R10b-SM-7P8Q1,0.01065,Frontal Cortex (BA9) 
GTEX-1C6VQ-0011-R1a-SM-7P8Q2,0,Hippocampus 
GTEX-1C6VQ-0011-R9a-SM-7SB85,0,Spinal cord (cervical c-1) 
GTEX-1C6VQ-3026-SM-7IGPU,0.01698,Cortex 
GTEX-1C6VR-0011-R10b-SM-7P8QA,0.01392,Frontal Cortex (BA9) 
GTEX-1C6VR-0011-R1a-SM-7MXUE,0.01628,Hippocampus 
GTEX-1C6VR-0011-R2a-SM-7RHGZ,0,Substantia nigra 
GTEX-1C6VR-0011-R4b-SM-9QEGZ,0.0344,Amygdala 
GTEX-1C6VR-0011-R5a-SM-9QEH1,0,Caudate (basal ganglia) 
GTEX-1C6VR-0011-R6a-SM-7MXU8,0.01835,Nucleus accumbens (basal ganglia) 
GTEX-1C6VR-0011-R8b-SM-7MXUF,0,Hypothalamus 
GTEX-1C6VR-3026-SM-7IGLW,0.03201,Cerebellum 
GTEX-1C6VS-0011-R5a-SM-7MXU9,0.01435,Caudate (basal ganglia) 
GTEX-1C6VS-0011-R9b-SM-9WG5W,0,Spinal cord (cervical c-1) 
GTEX-1C6VS-3026-SM-79OLA,0,Cortex 
GTEX-1C6WA-0011-R3a-SM-9OSVP,0.01389,Anterior cingulate cortex (BA24) 
GTEX-1C6WA-0011-R4a-SM-9QEH2,0,Amygdala 
GTEX-1C6WA-0011-R5a-SM-9WG5X,0.00912,Caudate (basal ganglia) 
GTEX-1C6WA-0011-R6a-SM-7PBYP,0,Nucleus accumbens (basal ganglia) 
GTEX-1C6WA-0011-R7b-SM-7P8S8,0.06104,Putamen (basal ganglia) 
GTEX-1C6WA-0011-R8b-SM-7P8S7,0.1675,Hypothalamus 
GTEX-1C6WA-3026-SM-7P8RQ,0.1079,Cortex 
GTEX-1C6WA-3326-SM-7MKGN,0,Cerebellum 
GTEX-1CAMQ-0011-R8a-SM-ARU85,0,Hypothalamus 
GTEX-1CAMQ-0011-R9a-SM-9WG5Z,0.03072,Spinal cord (cervical c-1) 
GTEX-1CAV2-0011-R11a-SM-ARU8D,0,Cerebellar Hemisphere 
GTEX-1CAV2-0011-R1a-SM-ARZML,0.01793,Hippocampus 
GTEX-1CAV2-0011-R5b-SM-9QEH4,0.01104,Caudate (basal ganglia) 
GTEX-1CAV2-0011-R9b-SM-9WG5M,0.01824,Spinal cord (cervical c-1) 
GTEX-1CAV2-2726-SM-7IGNN,0,Cortex 
GTEX-1CB4G-0011-R10a-SM-9QEHS,0,Frontal Cortex (BA9) 
GTEX-1CB4G-0011-R11a-SM-9OSWG,0,Cerebellar Hemisphere 
GTEX-1CB4G-0011-R1b-SM-9QEHT,0,Hippocampus 
GTEX-1CB4G-0011-R2a-SM-9QEGQ,0.01511,Substantia nigra 
GTEX-1CB4G-0011-R3a-SM-CE6QQ,0,Anterior cingulate cortex (BA24) 
GTEX-1CB4G-0011-R4b-SM-CJI28,0,Amygdala 
GTEX-1CB4G-0011-R5a-SM-CKZNM,0.01543,Caudate (basal ganglia) 
GTEX-1CB4G-0011-R6b-SM-9QEGO,0,Nucleus accumbens (basal ganglia) 
GTEX-1CB4G-0011-R7b-SM-9QEGP,0,Putamen (basal ganglia) 
GTEX-1CB4G-0011-R8b-SM-9WG7H,0,Hypothalamus 
GTEX-1CB4G-2926-SM-7MKFQ,0,Cerebellum 
GTEX-1CB4H-0011-R10b-SM-9QEH3,0.01918,Frontal Cortex (BA9) 
GTEX-1CB4H-0011-R3b-SM-9OSVI,0.01365,Anterior cingulate cortex (BA24) 
GTEX-1CB4H-0011-R5b-SM-9QEGN,0.01114,Caudate (basal ganglia) 
GTEX-1CB4H-0011-R6b-SM-CKZNK,0,Nucleus accumbens (basal ganglia) 
GTEX-1CB4H-0011-R7b-SM-CJI27,0.01255,Putamen (basal ganglia) 
GTEX-1CB4H-0011-R8b-SM-CJI26,0,Hypothalamus 
GTEX-1CB4H-0011-R9a-SM-CKZNL,0.01285,Spinal cord (cervical c-1) 
GTEX-1CB4H-3026-SM-79OLX,0,Cerebellum 
GTEX-1CB4H-3126-SM-7IGN4,0,Cortex 
GTEX-1CB4J-0011-R10a-SM-9WG63,0,Frontal Cortex (BA9) 
GTEX-1CB4J-0011-R1a-SM-9WG64,0,Hippocampus 
GTEX-1CB4J-0011-R4b-SM-9WG5P,0.01575,Amygdala 
GTEX-1CB4J-0011-R6b-SM-9WG7B,0.01629,Nucleus accumbens (basal ganglia) 
GTEX-1CB4J-0011-R8a-SM-9QEHU,0,Hypothalamus 
GTEX-1E1VI-0011-R10b-SM-ARU8F,0,Frontal Cortex (BA9) 
GTEX-1E1VI-0011-R11a-SM-9OSWI,0.0288,Cerebellar Hemisphere 
GTEX-1E1VI-0011-R1a-SM-ARZMM,0,Hippocampus 
GTEX-1E1VI-0011-R2a-SM-9QEGS,0,Substantia nigra 
GTEX-1E1VI-0011-R3a-SM-9OSWH,0.0229,Anterior cingulate cortex (BA24) 
GTEX-1E1VI-0011-R4b-SM-9QEHV,0,Amygdala 
GTEX-1E1VI-0011-R5b-SM-9WG5V,0,Caudate (basal ganglia) 
GTEX-1E1VI-0011-R6a-SM-9OSVJ,0,Nucleus accumbens (basal ganglia) 
GTEX-1E1VI-0011-R7b-SM-9QEGR,0.01005,Putamen (basal ganglia) 
GTEX-1E1VI-0011-R8b-SM-ARU8E,0.01486,Hypothalamus 
GTEX-1E1VI-2926-SM-7IGLT,0,Cerebellum 
GTEX-1E1VI-3026-SM-7RHHU,0.02946,Cortex 
GTEX-1E2YA-0011-R1b-SM-CJI29,0,Hippocampus 
GTEX-1E2YA-0011-R5a-SM-9QEGT,0.01189,Caudate (basal ganglia) 
GTEX-1E2YA-0011-R6b-SM-CE6R2,0,Nucleus accumbens (basal ganglia) 
GTEX-1E2YA-0011-R7a-SM-CJI1Z,0.0095,Putamen (basal ganglia) 
GTEX-1E2YA-0011-R8a-SM-CKZNG,0,Hypothalamus 
GTEX-1E2YA-2926-SM-7MGWX,0,Cerebellum 
GTEX-1E2YA-3026-SM-7IGO7,0,Cortex 
GTEX-1EH9U-0011-R10a-SM-CJI2A,0.07247,Frontal Cortex (BA9) 
GTEX-1EH9U-0011-R1b-SM-CJI2B,0,Hippocampus 
